latitudes,longitudes,median_income,GEOID,agg_travel_time_min,workers_who_commute,total_pop,tract_name
38.31535562183207,-122.31541352829905,64141.0,06055200704,50000.0,2232.0,5312.0,"Census Tract 2007.04, Napa County, California"
38.29184071172168,-122.29786365831876,79013.0,06055200201,36375.0,1830.0,3528.0,"Census Tract 2002.01, Napa County, California"
38.295281990693994,-122.28810112548754,63355.0,06055200202,23860.0,1190.0,2461.0,"Census Tract 2002.02, Napa County, California"
38.30495633944403,-122.28668237484362,66683.0,06055200503,28555.0,1021.0,1706.0,"Census Tract 2005.03, Napa County, California"
38.28851054727235,-122.27456560253314,80300.0,06055200301,59135.0,2903.0,6037.0,"Census Tract 2003.01, Napa County, California"
38.31709076795259,-122.29157948997275,82886.0,06055200504,57205.0,2969.0,6064.0,"Census Tract 2005.04, Napa County, California"
38.1596391822163,-122.2394071316354,76844.0,06055201004,117525.0,2796.0,5980.0,"Census Tract 2010.04, Napa County, California"
38.30568583393426,-122.31060097976481,78946.0,06055200705,39780.0,1644.0,3017.0,"Census Tract 2007.05, Napa County, California"
38.29465515450255,-122.30743404878852,75125.0,06055200804,70900.0,2668.0,5573.0,"Census Tract 2008.04, Napa County, California"
38.315694153566795,-122.2818421523067,78315.0,06055200505,36615.0,1467.0,2583.0,"Census Tract 2005.05, Napa County, California"
38.28667064655089,-122.28905998770492,66806.0,06055200203,28680.0,1147.0,2231.0,"Census Tract 2002.03, Napa County, California"
38.33539076558778,-122.30157847411537,74707.0,06055200602,42220.0,1982.0,4124.0,"Census Tract 2006.02, Napa County, California"
38.636040555379665,-121.54034931992132,74754.0,06067007016,60155.0,2381.0,6040.0,"Census Tract 70.16, Sacramento County, California"
38.585481122070426,-121.49167725183239,24918.0,06067000600,13370.0,618.0,1123.0,"Census Tract 6, Sacramento County, California"
38.51766093214546,-121.46005579472728,37622.0,06067004602,47440.0,1755.0,5725.0,"Census Tract 46.02, Sacramento County, California"
38.48864893325986,-121.46217899363161,39533.0,06067004903,73620.0,2707.0,7493.0,"Census Tract 49.03, Sacramento County, California"
38.62518164491556,-121.44094729723864,43942.0,06067006600,70060.0,2785.0,7385.0,"Census Tract 66, Sacramento County, California"
38.60462762458725,-121.42700276959037,34110.0,06067005502,61405.0,2364.0,5779.0,"Census Tract 55.02, Sacramento County, California"
38.51330594248604,-121.4182261737519,40114.0,06067003203,26215.0,965.0,2680.0,"Census Tract 32.03, Sacramento County, California"
38.57792888698994,-121.40843450767446,39513.0,06067005508,41275.0,1867.0,3338.0,"Census Tract 55.08, Sacramento County, California"
38.42989637967481,-121.4080982542158,62904.0,06067009639,50160.0,1549.0,3892.0,"Census Tract 96.39, Sacramento County, California"
38.477897154035965,-121.39936573009855,52969.0,06067009318,27255.0,1011.0,2480.0,"Census Tract 93.18, Sacramento County, California"
38.48916587994775,-121.38312769815758,51196.0,06067005102,43010.0,1772.0,4654.0,"Census Tract 51.02, Sacramento County, California"
38.55762709071584,-121.3713782711887,33333.0,06067009110,23465.0,849.0,2029.0,"Census Tract 91.10, Sacramento County, California"
38.541933322515234,-121.36393951660438,69323.0,06067009111,71855.0,2830.0,5416.0,"Census Tract 91.11, Sacramento County, California"
38.68816407018474,-121.35831454904512,61625.0,06067007414,64075.0,2074.0,4786.0,"Census Tract 74.14, Sacramento County, California"
38.62062663644767,-121.35641891209958,66553.0,06067005904,40575.0,1876.0,4884.0,"Census Tract 59.04, Sacramento County, California"
38.66865988789976,-121.34427655097072,43322.0,06067007501,71735.0,2794.0,6866.0,"Census Tract 75.01, Sacramento County, California"
38.68175555600149,-121.3261835714524,57328.0,06067008131,62240.0,2393.0,5302.0,"Census Tract 81.31, Sacramento County, California"
38.66525763794096,-121.3188936712318,70417.0,06067008117,33680.0,1032.0,2429.0,"Census Tract 81.17, Sacramento County, California"
38.71235712396184,-121.31757033925827,71250.0,06067008127,50860.0,2195.0,5091.0,"Census Tract 81.27, Sacramento County, California"
38.59362058127519,-121.31082521905704,53098.0,06067008910,40540.0,1619.0,3861.0,"Census Tract 89.10, Sacramento County, California"
38.67103909615278,-121.30085255950806,69103.0,06067008119,85255.0,3003.0,6326.0,"Census Tract 81.19, Sacramento County, California"
38.671164324461685,-121.27819308692564,70994.0,06067008138,44605.0,1549.0,3843.0,"Census Tract 81.38, Sacramento County, California"
38.671012365549394,-121.141875334847,60739.0,06067008506,23525.0,1354.0,2743.0,"Census Tract 85.06, Sacramento County, California"
38.487690375241094,-121.52068214776605,62169.0,06067004010,79060.0,2696.0,5981.0,"Census Tract 40.10, Sacramento County, California"
38.55793875597911,-121.5099817857168,57446.0,06067002200,41530.0,1983.0,5103.0,"Census Tract 22, Sacramento County, California"
38.53316864295213,-121.48831754774743,55300.0,06067003501,30755.0,1163.0,2393.0,"Census Tract 35.01, Sacramento County, California"
38.524517654151715,-121.4885737270281,58173.0,06067003502,26220.0,1183.0,2638.0,"Census Tract 35.02, Sacramento County, California"
38.53275590834938,-121.47787814347978,48277.0,06067003600,31825.0,1120.0,2767.0,"Census Tract 36, Sacramento County, California"
38.54761046142252,-121.47111001925941,45213.0,06067002700,39380.0,1783.0,3404.0,"Census Tract 27, Sacramento County, California"
38.38655822593826,-121.44232049908541,97377.0,06067009630,143665.0,4283.0,10015.0,"Census Tract 96.30, Sacramento County, California"
38.446001443013614,-121.43334139776069,72586.0,06067009609,76605.0,2542.0,5517.0,"Census Tract 96.09, Sacramento County, California"
38.437240488311126,-121.43203985953198,84826.0,06067009614,119115.0,3439.0,7010.0,"Census Tract 96.14, Sacramento County, California"
38.535860893404895,-121.4295850316416,55409.0,06067003000,83985.0,2922.0,7450.0,"Census Tract 30, Sacramento County, California"
38.4995504924268,-121.41904448103978,29595.0,06067004802,51450.0,1808.0,5177.0,"Census Tract 48.02, Sacramento County, California"
38.56632980026162,-121.41505683370846,66042.0,06067005403,21690.0,1101.0,2518.0,"Census Tract 54.03, Sacramento County, California"
38.48930510098625,-121.41738530320846,44308.0,06067005001,54380.0,2421.0,8176.0,"Census Tract 50.01, Sacramento County, California"
38.469914062561955,-121.40365444100638,58558.0,06067009319,45490.0,1700.0,4276.0,"Census Tract 93.19, Sacramento County, California"
